timestamp,gapBuy,gapSell,bidA,askA,bidB,askB,errorA,errorB
2026-04-26T21:37:50.0814824-07:00,-28000,28000,4726.9899999999998,4727.3299999999999,4727.0500000000002,4727.2700000000004,,
2026-04-26T21:37:50.1249480-07:00,-28000,28000,4726.9899999999998,4727.3299999999999,4727.0500000000002,4727.2700000000004,,
2026-04-26T21:37:50.1726513-07:00,-28000,28000,4726.9899999999998,4727.3299999999999,4727.0500000000002,4727.2700000000004,,
2026-04-26T21:37:50.2186991-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.2813516-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.3309381-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.3748752-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.4234689-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.4688409-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.5431489-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.5781328-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.6251509-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.6804529-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.7192177-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.7812606-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.8282090-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.8749845-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.9239883-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:50.9688895-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:51.0473053-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:51.0780999-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:51.1248645-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:51.1719462-07:00,-26999,27000,4726.9899999999998,4727.3299999999999,4727.0600000000004,4727.2600000000002,,
2026-04-26T21:37:51.2186312-07:00,-26000,27000,4726.9899999999998,4727.3299999999999,4727.0699999999997,4727.2600000000002,,
2026-04-26T21:37:51.2811762-07:00,-26000,27000,4726.9899999999998,4727.3299999999999,4727.0699999999997,4727.2600000000002,,
2026-04-26T21:37:51.3279802-07:00,-26000,27000,4726.9899999999998,4727.3299999999999,4727.0699999999997,4727.2600000000002,,
2026-04-26T21:37:51.3751588-07:00,-26000,29000,4726.9899999999998,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:51.4219136-07:00,-26000,29000,4726.9899999999998,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:51.4686554-07:00,-26000,29000,4726.9899999999998,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:51.5319010-07:00,-26000,29000,4726.9899999999998,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:51.5783365-07:00,-26000,29000,4726.9899999999998,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:51.6256881-07:00,-26000,29000,4726.9899999999998,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:51.6718683-07:00,-26000,29000,4726.9899999999998,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:51.7187318-07:00,-26000,29000,4726.9899999999998,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:51.7656090-07:00,-23000,32000,4726.96,4727.3000000000002,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:51.8279201-07:00,-23000,32000,4726.96,4727.3000000000002,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:51.8758846-07:00,-23000,32000,4726.96,4727.3000000000002,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:51.9228048-07:00,-31000,21000,4727.0699999999997,4727.3800000000001,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:51.9687775-07:00,-31000,21000,4727.0699999999997,4727.3800000000001,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.0343091-07:00,-31000,21000,4727.0699999999997,4727.3800000000001,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.0779228-07:00,-31000,21000,4727.0699999999997,4727.3800000000001,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.1253372-07:00,-31000,21000,4727.0699999999997,4727.3800000000001,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.1719876-07:00,-31000,21000,4727.0699999999997,4727.3800000000001,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.2187823-07:00,-31000,21000,4727.0699999999997,4727.3800000000001,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.2819903-07:00,-31000,21000,4727.0699999999997,4727.3800000000001,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.3280639-07:00,-31000,21000,4727.0699999999997,4727.3800000000001,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.3749107-07:00,-31000,21000,4727.0699999999997,4727.3800000000001,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.4268968-07:00,-31000,21000,4727.0699999999997,4727.3800000000001,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.4689817-07:00,-32000,23000,4727.0500000000002,4727.3900000000003,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.5318513-07:00,-32000,23000,4727.0500000000002,4727.3900000000003,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.5782745-07:00,-26000,27000,4727.0100000000002,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.6249279-07:00,-26000,27000,4727.0100000000002,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.6718750-07:00,-26000,27000,4727.0100000000002,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.7189433-07:00,-26000,27000,4727.0100000000002,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.7660244-07:00,-26000,27000,4727.0100000000002,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.8281054-07:00,-26000,27000,4727.0100000000002,4727.3299999999999,4727.0699999999997,4727.2799999999997,,
2026-04-26T21:37:52.8802008-07:00,-22000,29000,4727.0100000000002,4727.3299999999999,4727.1099999999997,4727.3000000000002,,
2026-04-26T21:37:52.9217268-07:00,-22000,29000,4727.0100000000002,4727.3299999999999,4727.1099999999997,4727.3000000000002,,
2026-04-26T21:37:52.9692846-07:00,-22000,29000,4727.0100000000002,4727.3299999999999,4727.1099999999997,4727.3000000000002,,
2026-04-26T21:37:53.0312176-07:00,-22000,29000,4727.0100000000002,4727.3299999999999,4727.1099999999997,4727.3000000000002,,
2026-04-26T21:37:53.0781644-07:00,-22000,29000,4727.0100000000002,4727.3299999999999,4727.1099999999997,4727.3000000000002,,
