timestamp,symbol,bid,ask,spread,tickTimeMsc,version,error
2026-04-26T21:37:50.0814824-07:00,XAUUSD,4727.0500000000002,4727.2700000000004,0.22000000000025466,1777275469000,1,
2026-04-26T21:37:50.2186991-07:00,XAUUSD,4727.0600000000004,4727.2600000000002,0.1999999999998181,1777275470000,1,
2026-04-26T21:37:51.2186312-07:00,XAUUSD,4727.0699999999997,4727.2600000000002,0.19000000000050932,1777275471000,1,
2026-04-26T21:37:51.3751588-07:00,XAUUSD,4727.0699999999997,4727.2799999999997,0.21000000000003638,1777275471000,1,
2026-04-26T21:37:52.8802008-07:00,XAUUSD,4727.1099999999997,4727.3000000000002,0.19000000000050932,1777275472000,1,
2026-04-26T21:37:53.2823137-07:00,XAUUSD,4727.1199999999999,4727.29,0.17000000000007276,1777275473000,1,
2026-04-26T21:37:53.5331079-07:00,XAUUSD,4727.1000000000004,4727.2700000000004,0.17000000000007276,1777275473000,1,
2026-04-26T21:37:54.1256183-07:00,XAUUSD,4727.1000000000004,4727.2600000000002,0.15999999999985448,1777275474000,1,
2026-04-26T21:37:55.2968258-07:00,XAUUSD,4727.0699999999997,4727.2299999999996,0.15999999999985448,1777275475000,1,
2026-04-26T21:37:55.4239777-07:00,XAUUSD,4727,4727.1400000000003,0.14000000000032742,1777275475000,1,
2026-04-26T21:37:55.6721641-07:00,XAUUSD,4726.9700000000003,4727.1099999999997,0.13999999999941792,1777275475000,1,
2026-04-26T21:37:55.9219622-07:00,XAUUSD,4726.9300000000003,4727.0699999999997,0.13999999999941792,1777275475000,1,
2026-04-26T21:37:57.1720694-07:00,XAUUSD,4726.9200000000001,4727.0799999999999,0.15999999999985448,1777275477000,1,
2026-04-26T21:37:58.1754626-07:00,XAUUSD,4726.9300000000003,4727.0699999999997,0.13999999999941792,1777275478000,1,
2026-04-26T21:37:59.5781580-07:00,XAUUSD,4726.9799999999996,4727.1199999999999,0.14000000000032742,1777275479000,1,
2026-04-26T21:37:59.8280470-07:00,XAUUSD,4726.9499999999998,4727.0900000000001,0.14000000000032742,1777275479000,1,
2026-04-26T21:37:59.9694701-07:00,XAUUSD,4726.7799999999997,4726.9200000000001,0.14000000000032742,1777275479000,1,
2026-04-26T21:38:00.0781870-07:00,XAUUSD,4726.6499999999996,4726.79,0.14000000000032742,1777275479000,1,
2026-04-26T21:38:00.2204582-07:00,XAUUSD,4726.6700000000001,4726.8100000000004,0.14000000000032742,1777275480000,1,
2026-04-26T21:38:00.4686652-07:00,XAUUSD,4726.6499999999996,4726.79,0.14000000000032742,1777275480000,1,
2026-04-26T21:38:01.2189576-07:00,XAUUSD,4726.6300000000001,4726.8100000000004,0.18000000000029104,1777275481000,1,
2026-04-26T21:38:01.6247563-07:00,XAUUSD,4726.5500000000002,4726.7299999999996,0.17999999999938154,1777275481000,1,
2026-04-26T21:38:01.7661557-07:00,XAUUSD,4726.3000000000002,4726.4799999999996,0.17999999999938154,1777275481000,1,
2026-04-26T21:38:01.8750049-07:00,XAUUSD,4726.2799999999997,4726.46,0.18000000000029104,1777275481000,1,
2026-04-26T21:38:02.1249190-07:00,XAUUSD,4726.2700000000004,4726.4499999999998,0.17999999999938154,1777275482000,1,
2026-04-26T21:38:02.2812259-07:00,XAUUSD,4726.2799999999997,4726.4399999999996,0.15999999999985448,1777275482000,1,
2026-04-26T21:38:02.9689054-07:00,XAUUSD,4726.3000000000002,4726.46,0.15999999999985448,1777275482000,1,
2026-04-26T21:38:03.2836968-07:00,XAUUSD,4726.2600000000002,4726.4899999999998,0.22999999999956344,1777275483000,1,
2026-04-26T21:38:03.8752233-07:00,XAUUSD,4726.3800000000001,4726.6099999999997,0.22999999999956344,1777275483000,1,
2026-04-26T21:38:05.8791588-07:00,XAUUSD,4726.3199999999997,4726.5500000000002,0.23000000000047294,1777275485000,1,
2026-04-26T21:38:06.0312425-07:00,XAUUSD,4726.3100000000004,4726.54,0.22999999999956344,1777275485000,1,
2026-04-26T21:38:06.7827758-07:00,XAUUSD,4726.4799999999996,4726.71,0.23000000000047294,1777275486000,1,
2026-04-26T21:38:06.9688806-07:00,XAUUSD,4726.4899999999998,4726.7200000000003,0.23000000000047294,1777275486000,1,
2026-04-26T21:38:07.0780758-07:00,XAUUSD,4726.2799999999997,4726.5100000000002,0.23000000000047294,1777275486000,1,
2026-04-26T21:38:07.1725603-07:00,XAUUSD,4726.2600000000002,4726.4700000000003,0.21000000000003638,1777275487000,1,
2026-04-26T21:38:07.2812412-07:00,XAUUSD,4725.8599999999997,4726.0699999999997,0.21000000000003638,1777275487000,1,
